Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Keyliane Abdallah,FRA,FW,Marseille,18,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid,MAR,DF,Reims,36,1987,28,28,2511,27.9,3,0,3,3,0,0,5,0,2.6,2.6,0.3,2.9,36,133,9,0.11,0.00,0.11,0.11,0.11,0.09,0.01,0.11,0.09,0.11
Salis Abdul Samed,GHA,MF,Lens,24,2000,25,17,1507,16.7,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,8,77,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Laurent Abergel,FRA,MF,Lorient,31,1993,30,29,2590,28.8,1,1,2,1,0,0,3,0,1.0,1.0,2.0,3.0,34,170,48,0.03,0.03,0.07,0.03,0.07,0.03,0.07,0.10,0.03,0.10
Matthis Abline,FRA,FW,Nantes,21,2003,19,9,822,9.1,4,0,4,4,0,0,1,0,2.5,2.5,2.0,4.4,21,15,73,0.44,0.00,0.44,0.44,0.44,0.27,0.22,0.49,0.27,0.49
Zakaria Aboukhlal,MAR,MF,Toulouse,24,2000,11,7,630,7.0,3,0,3,2,1,1,2,0,2.6,1.8,0.2,2.0,18,13,63,0.43,0.00,0.43,0.29,0.29,0.37,0.03,0.40,0.26,0.29
Bénie Adama Traore,CIV,FW,Nantes,21,2002,11,2,328,3.6,0,1,1,0,0,0,0,1,0.2,0.2,0.9,1.0,17,9,37,0.00,0.27,0.27,0.00,0.27,0.04,0.24,0.28,0.04,0.28
Akor Adams,NGA,FW,Montpellier,24,2000,29,25,2077,23.1,8,1,9,8,0,0,2,0,12.1,12.1,1.8,13.9,39,16,122,0.35,0.04,0.39,0.35,0.39,0.53,0.08,0.60,0.53,0.60
Nathaniel Adjei,GHA,DF,Lorient,21,2002,13,12,1092,12.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,9,31,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Adryelson,BRA,DF,Lyon,26,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adson,BRA,MF,Nantes,23,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13
Emmanuel Agbadou,CIV,DF,Reims,26,1997,29,26,2326,25.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,41,173,19,0.04,0.04,0.08,0.04,0.08,0.09,0.06,0.15,0.09,0.15
Ruben Aguilar,FRA,DF,Lens,31,1993,22,21,1825,20.3,1,3,4,1,0,0,3,0,1.4,1.4,2.8,4.3,36,105,155,0.05,0.15,0.20,0.05,0.20,0.07,0.14,0.21,0.07,0.21
Tosin Aiyegun,BEN,MF,Lorient,25,1998,17,8,786,8.7,2,0,2,2,0,0,0,1,1.8,1.8,0.2,2.0,16,15,45,0.23,0.00,0.23,0.23,0.23,0.20,0.03,0.23,0.20,0.23
Sergio Akieme,ESP,DF,Reims,26,1997,10,5,548,6.1,1,0,1,1,0,0,1,0,1.3,1.3,0.4,1.6,16,15,30,0.16,0.00,0.16,0.16,0.16,0.21,0.06,0.27,0.21,0.27
Maghnes Akliouche,FRA,MF,Monaco,22,2002,26,16,1439,16.0,7,3,10,7,0,0,4,0,5.0,5.0,2.8,7.8,38,87,122,0.44,0.19,0.63,0.44,0.63,0.31,0.18,0.49,0.31,0.49
Paul Akouokou,CIV,MF,Lyon,26,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Aboubacar Ali,FRA,MF,Strasbourg,18,2006,6,0,48,0.5,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,2,2,7,0.00,1.87,1.87,0.00,1.87,0.29,0.15,0.43,0.29,0.43
Mohamed Ali Cho,FRA,FW,Nice,20,2004,14,9,706,7.8,0,2,2,0,0,0,2,0,0.9,0.9,1.6,2.5,39,20,67,0.00,0.25,0.25,0.00,0.25,0.11,0.21,0.32,0.11,0.32
Yanis Ali Issoufou,FRA,FW,Montpellier,17,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
Nabil Alioui,FRA,MF,Le Havre,25,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41
