Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Max Aarons,ENG,DF,Bournemouth,24,2000,18,12,1166,13.0,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,42,25,0.00,0.08,0.08,0.00,0.08,0.00,0.06,0.07,0.00,0.07
Bénie Adama Traore,CIV,FW,Sheffield Utd,21,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19
Tyler Adams,USA,MF,Bournemouth,25,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Tosin Adarabioyo,ENG,DF,Fulham,26,1997,20,18,1617,18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
Elijah Adebayo,ENG,FW,Luton Town,26,1998,24,13,1175,13.1,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,90,0.69,0.00,0.69,0.69,0.69,0.43,0.05,0.48,0.43,0.48
Simon Adingra,CIV,FW,Brighton,22,2002,27,21,1877,20.9,6,1,7,6,0,0,2,0,3.6,3.6,2.5,6.1,93,43,245,0.29,0.05,0.34,0.29,0.34,0.17,0.12,0.29,0.17,0.29
Nayef Aguerd,MAR,DF,West Ham,28,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09
Brandon Aguilera,CRC,FW,Nott'ham Forest,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Naouirou Ahamada,FRA,MF,Crystal Palace,22,2002,19,0,279,3.1,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,17,18,18,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25,1999,29,27,2470,27.4,2,0,2,2,0,0,9,0,3.1,3.1,0.8,4.0,13,36,19,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14
Ola Aina,NGA,DF,Nott'ham Forest,27,1996,20,18,1512,16.8,1,1,2,1,0,0,3,0,0.2,0.2,0.9,1.1,45,57,34,0.06,0.06,0.12,0.06,0.12,0.01,0.05,0.06,0.01,0.06
