Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Tammy Abraham,ENG,FW,Roma,26,1997,4,1,104,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,2,2,4,0.87,0.00,0.87,0.87,0.87,0.32,0.01,0.33,0.32,0.33
Francesco Acerbi,ITA,DF,Inter,36,1988,27,24,2208,24.5,3,1,4,3,0,0,1,0,1.6,1.6,1.7,3.3,19,79,22,0.12,0.04,0.16,0.12,0.16,0.07,0.07,0.14,0.07,0.14
Yacine Adli,FRA,MF,Milan,23,2000,22,17,1364,15.2,1,2,3,1,0,0,3,0,0.3,0.3,1.9,2.2,29,121,25,0.07,0.13,0.20,0.07,0.20,0.02,0.13,0.15,0.02,0.15
Michel Aebischer,SUI,MF,Bologna,27,1997,33,23,1969,21.9,0,1,1,0,0,0,6,0,1.0,1.0,1.4,2.4,21,114,52,0.00,0.05,0.05,0.00,0.05,0.05,0.06,0.11,0.05,0.11
Lucien Agoume,FRA,MF,Inter,22,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marley Aké,FRA,FW,Udinese,23,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ebenezer Akinsanmiro,NGA,MF,Inter,19,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,1992,17,8,658,7.3,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.5,9,10,11,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
David Akpan Ankeye,NGA,FW,Genoa,22,2002,4,0,53,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
Luis Alberto,ESP,MF,Lazio,31,1992,31,28,2228,24.8,5,7,12,5,0,0,7,0,4.6,4.6,4.7,9.3,78,204,121,0.20,0.28,0.48,0.20,0.48,0.19,0.19,0.38,0.19,0.38
Carlos Alcaraz,ARG,MF,Juventus,21,2002,7,2,239,2.7,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.5,6,18,5,0.00,0.38,0.38,0.00,0.38,0.13,0.04,0.17,0.13,0.17
Pontus Almqvist,SWE,FW,Lecce,24,1999,27,23,1962,21.8,2,0,2,2,0,0,5,0,2.3,2.3,1.7,4.0,69,29,126,0.09,0.00,0.09,0.09,0.09,0.11,0.08,0.18,0.11,0.18
Lorenzo Amatucci,ITA,MF,Fiorentina,20,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Bruno Amione,ARG,DF,Hellas Verona,22,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
Felipe Anderson,BRA,FW,Lazio,31,1993,34,31,2568,28.5,5,6,11,5,0,0,3,0,4.1,4.1,6.2,10.3,99,115,207,0.18,0.21,0.39,0.18,0.39,0.14,0.22,0.36,0.14,0.36
Angeliño,ESP,DF,Roma,27,1997,12,10,791,8.8,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.9,6,33,33,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11
Houssem Aouar,ALG,MF,Roma,25,1998,15,8,687,7.6,3,0,3,3,0,0,3,0,2.0,2.0,0.4,2.5,16,26,57,0.39,0.00,0.39,0.39,0.39,0.27,0.06,0.32,0.27,0.32
Marko Arnautović,AUT,FW,Inter,35,1989,24,3,652,7.2,2,3,5,2,0,0,0,0,3.5,3.5,2.5,6.0,9,18,65,0.28,0.41,0.69,0.28,0.69,0.48,0.35,0.83,0.48,0.83
Kristjan Asllani,ALB,MF,Inter,22,2002,20,4,601,6.7,1,2,3,1,0,0,1,0,0.6,0.5,0.8,1.3,2,25,8,0.15,0.30,0.45,0.15,0.45,0.09,0.12,0.21,0.08,0.20
Emil Audero,ITA,GK,Inter,27,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Augello,ITA,DF,Cagliari,29,1994,29,25,2167,24.1,1,1,2,1,0,0,4,0,0.5,0.5,1.9,2.4,56,84,88,0.04,0.04,0.08,0.04,0.08,0.02,0.08,0.10,0.02,0.10
Carlos Augusto,BRA,DF,Inter,25,1999,33,11,1428,15.9,0,3,3,0,0,0,1,0,0.9,0.9,2.1,3.1,39,47,81,0.00,0.19,0.19,0.00,0.19,0.06,0.13,0.19,0.06,0.19
Yann Aurel Bisseck,GER,DF,Inter,23,2000,14,7,724,8.0,2,0,2,2,0,0,0,0,0.6,0.6,0.5,1.1,20,28,17,0.25,0.00,0.25,0.25,0.25,0.08,0.06,0.14,0.08,0.14
Sardar Azmoun,IRN,FW,Roma,29,1995,20,3,536,6.0,3,0,3,3,0,0,4,0,2.9,2.9,1.1,4.0,4,13,31,0.50,0.00,0.50,0.50,0.50,0.48,0.18,0.66,0.48,0.66
Paulo Azzi,BRA,DF,Cagliari,29,1994,23,9,921,10.2,0,0,0,0,0,0,1,0,1.2,1.2,0.7,1.9,45,35,41,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18
Oussama El Azzouzi,MAR,MF,Bologna,22,2001,14,4,424,4.7,2,2,4,2,0,0,3,0,0.5,0.5,0.6,1.0,4,19,7,0.42,0.42,0.85,0.42,0.85,0.10,0.12,0.22,0.10,0.22
Milan Badelj,CRO,MF,Genoa,35,1989,30,29,2298,25.5,0,3,3,0,0,0,6,0,1.0,1.0,1.1,2.1,16,135,28,0.00,0.12,0.12,0.00,0.12,0.04,0.04,0.08,0.04,0.08
Jaime Báez,URU,FW,Frosinone,29,1995,10,6,499,5.5,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.0,12,29,39,0.18,0.00,0.18,0.18,0.18,0.08,0.10,0.18,0.08,0.18
Nedim Bajrami,ALB,MF,Sassuolo,25,1999,27,15,1286,14.3,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,50,49,68,0.14,0.14,0.28,0.14,0.28,0.17,0.16,0.33,0.17,0.33
Mitchel Bakker,NED,DF,Atalanta,23,2000,13,3,366,4.1,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,11,9,19,0.25,0.00,0.25,0.25,0.25,0.05,0.03,0.08,0.05,0.08
Tommaso Baldanzi,ITA,MF,Empoli,21,2003,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20,30,40,0.24,0.00,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38
Tommaso Baldanzi,ITA,FW,Roma,21,2003,10,3,344,3.8,0,0,0,0,0,0,2,0,0.7,0.7,0.4,1.1,10,13,34,0.00,0.00,0.00,0.00,0.00,0.18,0.11,0.29,0.18,0.29
