Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90
Max Aarons,ENG,DF,Bournemouth,24.0,2000.0,18,12,1166,13.0,0.0,0.08,0.08,0.0,0.08,0.0,0.06,0.07,0.0,0.07,0.0,0.08,1.92,1.69,3.23
Bénie Adama Traore,CIV,FW,Sheffield Utd,21.0,2002.0,8,3,387,4.3,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,0.0,0.0,3.26,1.63,2.09
Tyler Adams,USA,MF,Bournemouth,25.0,1999.0,2,1,110,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.83,2.5,3.33
Tosin Adarabioyo,ENG,DF,Fulham,26.0,1997.0,20,18,1617,18.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,0.0,0.11,0.28,0.56,3.44
Elijah Adebayo,ENG,FW,Luton Town,26.0,1998.0,24,13,1175,13.1,0.69,0.0,0.69,0.69,0.69,0.43,0.05,0.48,0.43,0.48,0.0,0.08,6.87,1.07,1.45
Simon Adingra,CIV,FW,Brighton,22.0,2002.0,27,21,1877,20.9,0.29,0.05,0.34,0.29,0.34,0.17,0.12,0.29,0.17,0.29,0.0,0.1,11.72,4.45,2.06
Nayef Aguerd,MAR,DF,West Ham,28.0,1996.0,21,21,1857,20.6,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,0.05,0.15,0.15,0.49,3.3
Brandon Aguilera,CRC,FW,Nott'ham Forest,20.0,2003.0,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Naouirou Ahamada,FRA,MF,Crystal Palace,22.0,2002.0,19,0,279,3.1,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.13,0.14,0.0,0.65,5.81,5.48,5.81
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,1999.0,29,27,2470,27.4,0.07,0.0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,0.0,0.33,0.69,0.47,1.31
Ola Aina,NGA,DF,Nott'ham Forest,27.0,1996.0,20,18,1512,16.8,0.06,0.06,0.12,0.06,0.12,0.01,0.05,0.06,0.01,0.06,0.0,0.18,2.02,2.68,3.39
Rayan Aït-Nouri,ALG,DF,Wolves,22.0,2001.0,30,26,2102,23.4,0.09,0.04,0.13,0.09,0.13,0.13,0.08,0.22,0.13,0.22,0.0,0.3,3.72,2.61,3.93
Kristoffer Ajer,NOR,DF,Brentford,26.0,1998.0,26,19,1726,19.2,0.1,0.05,0.16,0.1,0.16,0.07,0.12,0.19,0.07,0.19,0.0,0.26,1.61,1.04,2.97
Manuel Akanji,SUI,DF,Manchester City,28.0,1995.0,26,24,2171,24.1,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05,0.04,0.17,1.41,1.7,5.31
Nathan Aké,NED,DF,Manchester City,29.0,1995.0,26,22,1933,21.5,0.09,0.09,0.19,0.09,0.19,0.12,0.06,0.17,0.12,0.17,0.0,0.0,0.79,1.07,5.21
Thiago Alcántara,ESP,MF,Liverpool,33.0,1991.0,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,1998.0,25,22,1905,21.2,0.14,0.19,0.33,0.14,0.33,0.1,0.28,0.38,0.09,0.37,0.0,0.24,4.06,1.84,8.68
Alisson,BRA,GK,Liverpool,31.0,1992.0,25,25,2250,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2
Miguel Almirón,PAR,FW,Newcastle Utd,30.0,1994.0,29,23,1848,20.5,0.15,0.05,0.19,0.15,0.19,0.22,0.13,0.34,0.22,0.34,0.0,0.05,7.66,3.76,3.66
Edson Álvarez,MEX,MF,West Ham,26.0,1997.0,29,27,2312,25.7,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,0.0,0.39,1.01,0.78,3.46
Julián Álvarez,ARG,MF,Manchester City,24.0,2000.0,33,31,2628,29.2,0.31,0.27,0.58,0.27,0.55,0.41,0.22,0.63,0.38,0.6,0.0,0.07,6.03,2.16,3.53
Zeki Amdouni,SUI,FW,Burnley,23.0,2000.0,31,26,1870,20.8,0.24,0.05,0.29,0.19,0.24,0.26,0.07,0.32,0.22,0.28,0.0,0.1,4.23,2.84,2.26
Sofyan Amrabat,MAR,MF,Manchester Utd,27.0,1996.0,17,7,663,7.4,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.0,0.41,1.22,0.68,7.03
Joachim Andersen,DEN,DF,Crystal Palace,27.0,1996.0,35,35,3149,35.0,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.12,0.05,0.12,0.0,0.17,0.29,0.6,3.97
Elliot Anderson,SCO,MF,Newcastle Utd,21.0,2002.0,17,8,831,9.2,0.0,0.11,0.11,0.0,0.11,0.15,0.11,0.26,0.15,0.26,0.0,0.11,6.09,3.26,5.22
Jaidon Anthony,ENG,FW,Bournemouth,24.0,1999.0,3,2,152,1.7,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.59,5.29,1.18,4.71
Michail Antonio,JAM,FW,West Ham,34.0,1990.0,23,18,1472,16.4,0.37,0.12,0.49,0.37,0.49,0.33,0.05,0.39,0.33,0.39,0.0,0.37,5.85,2.74,1.28
Antony,BRA,FW,Manchester Utd,24.0,2000.0,27,14,1244,13.8,0.07,0.07,0.14,0.07,0.14,0.24,0.2,0.44,0.24,0.44,0.0,0.36,10.29,3.7,4.57
Oliver Arblaster,ENG,MF,Sheffield Utd,19.0,2004.0,9,8,730,8.1,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,0.0,0.12,0.37,1.36,3.83
Cameron Archer,ENG,FW,Sheffield Utd,22.0,2001.0,26,18,1618,18.0,0.22,0.06,0.28,0.22,0.28,0.25,0.15,0.4,0.25,0.4,0.0,0.06,5.44,1.72,0.83
Cameron Archer,ENG,MF,Aston Villa,22.0,2001.0,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
Alphonse Areola,FRA,GK,West Ham,31.0,1993.0,28,28,2429,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04
Lorenz Assignon,TOG,DF,Burnley,23.0,2000.0,12,12,1009,11.2,0.09,0.18,0.27,0.09,0.27,0.03,0.23,0.26,0.03,0.26,0.09,0.36,3.84,2.86,2.59
Serge Aurier,CIV,DF,Nott'ham Forest,31.0,1992.0,12,10,833,9.3,0.0,0.22,0.22,0.0,0.22,0.02,0.05,0.07,0.02,0.07,0.0,0.22,3.12,1.08,5.05
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26.0,1997.0,17,12,1024,11.4,0.53,0.26,0.79,0.53,0.79,0.42,0.15,0.57,0.42,0.57,0.0,0.18,3.77,0.7,1.23
Jordan Ayew,GHA,FW,Crystal Palace,32.0,1991.0,33,30,2534,28.2,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.28,0.14,0.28,0.04,0.32,6.13,2.62,2.23
Benoît Badiashile,FRA,DF,Chelsea,23.0,2001.0,13,10,921,10.2,0.0,0.1,0.1,0.0,0.1,0.02,0.14,0.17,0.02,0.17,0.0,0.2,0.2,0.1,3.63
Leon Bailey,JAM,MF,Aston Villa,26.0,1997.0,33,20,1888,21.0,0.48,0.43,0.91,0.48,0.91,0.29,0.38,0.67,0.29,0.67,0.0,0.24,10.48,4.76,3.57
George Baldock,GRE,DF,Sheffield Utd,31.0,1993.0,13,11,969,10.8,0.0,0.09,0.09,0.0,0.09,0.0,0.07,0.08,0.0,0.08,0.0,0.37,2.22,0.83,2.87
Carlos Baleba,CMR,MF,Brighton,20.0,2004.0,23,14,1217,13.5,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,0.0,0.52,0.67,1.26,3.41
Fodé Ballo-Touré,SEN,DF,Fulham,27.0,1997.0,5,0,58,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,6.67,8.33,0.0
Shandon Baptiste,GRN,MF,Brentford,26.0,1998.0,10,2,229,2.5,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,0.0,0.4,0.4,1.2,2.0
Valentín Barco,ARG,DF,Brighton,19.0,2004.0,3,2,181,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,0.0,0.5,4.5,2.5,3.0
Ross Barkley,ENG,MF,Luton Town,30.0,1993.0,30,28,2490,27.7,0.18,0.14,0.33,0.18,0.33,0.14,0.13,0.28,0.14,0.28,0.0,0.18,1.3,1.62,5.42
Harvey Barnes,ENG,FW,Newcastle Utd,26.0,1997.0,17,6,676,7.5,0.53,0.4,0.93,0.53,0.93,0.36,0.41,0.77,0.36,0.77,0.0,0.13,8.8,5.07,3.6
Chris Basham,ENG,DF,Sheffield Utd,35.0,1988.0,8,3,321,3.6,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,0.1,0.0,0.28,1.67,0.28,1.94
Calvin Bassey,NGA,DF,Fulham,24.0,1999.0,26,22,2033,22.6,0.04,0.0,0.04,0.04,0.04,0.01,0.0,0.02,0.01,0.02,0.04,0.22,0.18,0.58,2.52
Owen Beck,WAL,DF,Liverpool,21.0,2002.0,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Donny van de Beek,NED,DF,Manchester Utd,27.0,1997.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.09,4.44,5.54,1.09,5.54,,,,,
Amari'i Bell,JAM,DF,Luton Town,29.0,1994.0,21,21,1720,19.1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,0.0,0.0,0.52,1.68,3.98
Jean-Ricner Bellegarde,FRA,MF,Wolves,25.0,1998.0,19,9,806,9.0,0.22,0.11,0.33,0.22,0.33,0.15,0.09,0.25,0.15,0.25,0.11,0.0,4.78,2.78,4.11
Anis Ben Slimane,TUN,MF,Sheffield Utd,23.0,2001.0,14,4,383,4.3,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.23,0.17,0.23,0.0,0.47,3.95,0.7,2.33
Saïd Benrahma,ALG,FW,West Ham,28.0,1995.0,13,5,620,6.9,0.0,0.15,0.15,0.0,0.15,0.27,0.21,0.47,0.15,0.36,0.0,0.14,10.14,4.06,4.06
Rodrigo Bentancur,URU,MF,Tottenham,26.0,1997.0,18,10,772,8.6,0.12,0.12,0.23,0.12,0.23,0.14,0.06,0.2,0.14,0.2,0.0,0.7,3.37,1.28,6.86
Daniel Bentley,ENG,GK,Wolves,30.0,1993.0,4,2,293,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jóhann Berg Guðmundsson,ISL,MF,Burnley,33.0,1990.0,24,12,1118,12.4,0.08,0.16,0.24,0.08,0.24,0.14,0.19,0.33,0.14,0.33,0.0,0.16,5.0,0.89,4.35
Sander Berge,NOR,MF,Burnley,26.0,1998.0,34,31,2735,30.4,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,0.03,0.3,0.92,1.88,4.64
Luke Berry,ENG,MF,Luton Town,31.0,1992.0,15,2,315,3.5,0.57,0.29,0.86,0.57,0.86,0.25,0.08,0.33,0.25,0.33,0.0,0.29,1.71,0.29,2.29
Beto,GNB,FW,Everton,26.0,1998.0,28,9,939,10.4,0.29,0.0,0.29,0.29,0.29,0.65,0.09,0.74,0.58,0.66,0.0,0.19,5.58,1.35,1.35
Jordan Beyer,GER,DF,Burnley,23.0,2000.0,15,15,1234,13.7,0.0,0.07,0.07,0.0,0.07,0.04,0.02,0.06,0.04,0.06,0.0,0.44,0.07,0.66,1.82
Philip Billing,DEN,MF,Bournemouth,27.0,1996.0,27,13,1356,15.1,0.13,0.13,0.27,0.13,0.27,0.16,0.21,0.37,0.16,0.37,0.07,0.2,4.04,1.39,3.44
Yves Bissouma,MLI,MF,Tottenham,27.0,1996.0,25,23,1842,20.5,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,0.1,0.44,0.54,2.0,7.12
Benicio Boaitey,ENG,DF,Brighton,20.0,2004.0,4,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
Oscar Bobb,NOR,FW,Manchester City,20.0,2003.0,13,2,293,3.3,0.31,0.31,0.61,0.31,0.61,0.43,0.38,0.8,0.43,0.8,0.0,0.0,11.21,3.64,7.27
Jayden Bogle,ENG,DF,Sheffield Utd,23.0,2000.0,31,29,2518,28.0,0.11,0.0,0.11,0.11,0.11,0.07,0.03,0.1,0.07,0.1,0.0,0.32,2.89,1.11,1.71
Willy Boly,CIV,DF,Nott'ham Forest,33.0,1991.0,17,15,1168,13.0,0.08,0.0,0.08,0.08,0.08,0.11,0.07,0.18,0.11,0.18,0.08,0.23,0.15,0.31,1.77
Sven Botman,NED,DF,Newcastle Utd,24.0,2000.0,17,15,1377,15.3,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11,0.0,0.13,0.33,0.0,2.29
Jarrod Bowen,ENG,FW,West Ham,27.0,1996.0,32,32,2839,31.5,0.51,0.19,0.7,0.51,0.7,0.31,0.16,0.47,0.31,0.47,0.0,0.06,5.59,2.63,1.56
Conor Bradley,NIR,DF,Liverpool,20.0,2003.0,10,10,733,8.1,0.12,0.37,0.49,0.12,0.49,0.11,0.18,0.29,0.11,0.29,0.0,0.25,7.78,4.2,3.58
Jarrad Branthwaite,ENG,DF,Everton,21.0,2002.0,32,32,2846,31.6,0.09,0.0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,0.0,0.25,0.19,0.06,2.12
