Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Max Aarons,ENG,DF,Bournemouth,24.0,2000.0,13.0,2.23,1.46,1.54,0.54,0.15,1.54,2.46,62.5,0.92,0.69,0.38,0.31,0.46,2.69,1.92,0.0
Joshua Acheampong,ENG,DF,Chelsea,17.0,2006.0,0.1,,0.0,,,,,,,,,,,0.0,,,
Bénie Adama Traore,CIV,FW,Sheffield Utd,21.0,2002.0,4.3,0.93,0.47,0.23,0.47,0.23,0.0,0.93,0.0,0.93,0.93,0.23,0.7,0.23,1.16,0.23,0.0
Tyler Adams,USA,MF,Bournemouth,25.0,1999.0,1.2,3.33,2.5,0.83,2.5,0.0,1.67,2.5,66.7,0.83,1.67,0.0,1.67,3.33,6.67,1.67,0.0
Tosin Adarabioyo,ENG,DF,Fulham,26.0,1997.0,18.0,1.17,0.61,0.89,0.28,0.0,0.67,1.17,57.1,0.5,0.89,0.61,0.28,1.39,2.56,4.44,0.0
Elijah Adebayo,ENG,FW,Luton Town,26.0,1998.0,13.1,0.08,0.0,0.08,0.0,0.0,0.0,0.69,0.0,0.69,0.61,0.08,0.53,0.38,0.46,1.76,0.0
Simon Adingra,CIV,FW,Brighton,22.0,2002.0,20.9,1.72,0.86,0.86,0.48,0.38,0.77,1.72,44.4,0.96,1.2,0.05,1.15,0.67,2.39,0.67,0.0
Nayef Aguerd,MAR,DF,West Ham,28.0,1996.0,20.6,1.26,0.68,0.92,0.34,0.0,0.78,1.07,72.7,0.29,1.6,1.17,0.44,0.83,2.09,4.13,0.1
Brandon Aguilera,CRC,FW,Nott'ham Forest,20.0,2003.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,FRA,MF,Crystal Palace,22.0,2002.0,3.1,3.23,2.26,1.61,1.61,0.0,1.94,4.52,42.9,2.58,0.97,0.0,0.97,0.32,3.55,0.97,0.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,1999.0,27.4,2.12,1.31,1.57,0.47,0.07,0.95,1.64,57.8,0.69,1.46,0.91,0.55,1.2,3.32,4.82,0.07
Ola Aina,NGA,DF,Nott'ham Forest,27.0,1996.0,16.8,2.38,1.49,1.55,0.65,0.18,1.37,1.9,71.9,0.54,1.07,0.18,0.89,0.95,3.33,2.8,0.06
Rayan Aït-Nouri,ALG,DF,Wolves,22.0,2001.0,23.4,2.69,1.67,1.5,0.94,0.26,1.03,1.79,57.1,0.77,1.2,0.26,0.94,0.56,3.25,1.45,0.0
Kristoffer Ajer,NOR,DF,Brentford,26.0,1998.0,19.2,1.88,1.04,1.3,0.42,0.16,1.2,1.88,63.9,0.68,1.25,0.57,0.68,1.09,2.97,3.96,0.05
Manuel Akanji,SUI,DF,Manchester City,28.0,1995.0,24.1,1.49,1.04,0.58,0.62,0.29,0.83,1.41,58.8,0.58,1.04,0.5,0.54,0.91,2.41,2.66,0.08
