Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Alisson,BRA,GK,Liverpool,31,1992,25,25,2250,25.0,1.0,1.0,3.84,2.88,75.0,0.56,0.28,0.16,0.28,28.0,0.04,0.04,0.0,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,31,1993,28,28,2429,27.0,1.63,1.63,5.96,4.37,75.8,0.37,0.33,0.33,0.15,14.3,0.26,0.19,0.07,0.0,28.6
Daniel Bentley,ENG,GK,Wolves,30,1993,4,2,293,3.3,1.21,1.23,3.64,2.42,66.7,0.3,0.0,0.3,0.3,50.0,0.0,0.0,0.0,0.0,
Martin Dúbravka,SVK,GK,Newcastle Utd,35,1989,20,19,1715,19.1,1.94,1.94,5.92,3.93,70.8,0.42,0.16,0.42,0.26,26.3,0.26,0.21,0.05,0.0,20.0
Ederson,BRA,GK,Manchester City,30,1993,30,30,2537,28.2,0.92,0.92,2.77,1.88,70.5,0.74,0.21,0.11,0.32,30.0,0.11,0.11,0.0,0.0,0.0
Łukasz Fabiański,POL,GK,West Ham,39,1985,10,7,721,8.0,2.63,2.62,6.63,4.13,66.0,0.38,0.13,0.38,0.13,14.3,0.38,0.38,0.0,0.0,0.0
Mark Flekken,NED,GK,Brentford,30,1993,34,34,3015,33.5,1.73,1.73,4.84,3.1,65.4,0.27,0.24,0.51,0.18,17.6,0.06,0.06,0.0,0.0,0.0
Wes Foderingham,ENG,GK,Sheffield Utd,33,1991,27,26,2379,26.4,2.73,2.72,7.01,4.47,63.8,0.11,0.15,0.72,0.04,3.8,0.23,0.19,0.0,0.04,0.0
Ivo Grbić,CRO,GK,Sheffield Utd,28,1996,9,9,771,8.6,2.91,2.92,6.86,4.19,57.6,0.0,0.35,0.7,0.0,0.0,0.12,0.0,0.0,0.12,
Dean Henderson,ENG,GK,Crystal Palace,27,1997,15,15,1350,15.0,1.93,1.93,4.93,3.07,62.2,0.33,0.27,0.4,0.13,13.3,0.07,0.07,0.0,0.0,0.0
Sam Johnstone,ENG,GK,Crystal Palace,31,1993,20,20,1796,20.0,1.35,1.35,3.35,2.05,62.7,0.25,0.3,0.45,0.3,30.0,0.1,0.1,0.0,0.0,0.0
Thomas Kaminski,BEL,GK,Luton Town,31,1992,36,36,3240,36.0,2.17,2.17,5.75,3.69,64.3,0.17,0.22,0.61,0.06,5.6,0.11,0.11,0.0,0.0,0.0
Loris Karius,GER,GK,Newcastle Utd,30,1993,1,1,90,1.0,4.0,4.0,7.0,4.0,42.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Caoimhín Kelleher,IRL,GK,Liverpool,25,1998,10,10,900,10.0,1.1,1.1,3.8,2.8,71.1,0.8,0.2,0.0,0.2,20.0,0.0,0.0,0.0,0.0,
Bernd Leno,GER,GK,Fulham,32,1992,35,35,3150,35.0,1.57,1.57,4.94,3.49,71.7,0.34,0.2,0.46,0.26,25.7,0.17,0.17,0.0,0.0,0.0
Emiliano Martínez,ARG,GK,Aston Villa,31,1992,33,33,2925,32.5,1.38,1.38,4.06,2.77,66.7,0.58,0.22,0.22,0.25,24.2,0.03,0.03,0.0,0.0,0.0
Remi Matthews,ENG,GK,Crystal Palace,30,1994,1,0,4,0.0,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Arijanet Muric,KVX,GK,Burnley,25,1998,7,7,630,7.0,1.14,1.14,7.43,6.43,86.5,0.29,0.57,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.0
