Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Brenden Aaronson,USA,MF,Union Berlin,23.0,2000,12.1,2.40,1.40,0.91,0.99,0.50,1.24,2.48,50.0,1.24,1.98,0.00,1.98,0.17,2.56,0.33,0.00
Paxten Aaronson,USA,MF,Eint Frankfurt,20.0,2003,1.1,1.82,1.82,0.91,0.91,0.00,0.91,0.91,100.0,0.00,1.82,0.00,1.82,0.00,1.82,0.00,0.00
Junior Adamu,AUT,FW,Freiburg,22.0,2001,1.1,4.55,0.91,0.91,1.82,1.82,0.91,1.82,50.0,0.91,0.91,0.00,0.91,0.00,4.55,0.91,0.00
Sargis Adamyan,ARM,FW,Köln,30.0,1993,8.3,1.69,1.08,0.24,1.08,0.36,0.72,1.33,54.5,0.60,1.57,0.12,1.45,0.60,2.29,0.84,0.00
Karim Adeyemi,GER,FW,Dortmund,22.0,2002,9.2,1.63,1.41,0.87,0.43,0.33,0.87,2.17,40.0,1.30,0.87,0.00,0.87,0.33,1.96,0.54,0.00
Amine Adli,MAR,MF,Leverkusen,23.0,2000,9.0,1.22,0.56,0.11,0.78,0.33,0.67,1.67,40.0,1.00,1.00,0.22,0.78,0.67,1.89,0.33,0.00
Felix Agu,GER,DF,Werder Bremen,24.0,1999,15.3,2.68,1.70,1.83,0.65,0.20,1.70,2.48,68.4,0.78,1.37,0.33,1.05,0.72,3.40,2.35,0.00
Ludovic Ajorque,FRA,FW,Mainz 05,30.0,1994,14.1,0.21,0.14,0.07,0.14,0.00,0.14,0.78,18.2,0.64,0.43,0.14,0.28,0.21,0.43,0.78,0.00
Kevin Akpoguma,NGA,DF,Hoffenheim,29.0,1995,9.2,2.93,1.52,1.96,0.87,0.11,2.17,2.93,74.1,0.76,2.07,0.76,1.30,1.63,4.57,2.93,0.00
Faride Alidou,GER,FW,Köln,22.0,2001,12.0,0.83,0.33,0.25,0.50,0.08,0.33,1.33,25.0,1.00,1.67,0.17,1.50,0.67,1.50,1.17,0.08
Skelly Alvero,FRA,MF,Werder Bremen,21.0,2002,1.4,4.29,2.86,0.71,3.57,0.00,2.14,2.14,100.0,0.00,2.14,0.71,1.43,0.71,5.00,0.71,0.00
Nadiem Amiri,GER,MF,Mainz 05,27.0,1996,12.6,1.59,1.03,0.48,0.79,0.32,1.03,1.51,68.4,0.48,1.03,0.16,0.87,1.11,2.70,1.03,0.00
Nadiem Amiri,GER,MF,Leverkusen,27.0,1996,1.0,4.00,2.00,0.00,3.00,1.00,0.00,3.00,0.0,3.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00
Kofi Amoako,GER,MF,Wolfsburg,18.0,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Robert Andrich,GER,MF,Leverkusen,29.0,1994,15.9,1.64,0.88,0.38,0.82,0.44,0.69,1.19,57.9,0.50,0.82,0.19,0.63,1.13,2.77,1.01,0.00
Waldemar Anton,GER,DF,Stuttgart,27.0,1996,29.1,1.24,0.79,0.65,0.55,0.03,0.76,1.34,56.4,0.58,0.96,0.55,0.41,1.31,2.54,4.81,0.03
Christopher Antwi-Adjei,GHA,FW,Bochum,30.0,1994,13.1,1.60,0.92,0.76,0.46,0.38,0.92,1.68,54.5,0.76,0.99,0.15,0.84,0.15,1.76,0.84,0.08
Maximilian Arnold,GER,MF,Wolfsburg,29.0,1994,24.8,1.90,1.21,0.60,0.93,0.36,1.05,2.18,48.1,1.13,0.81,0.16,0.65,0.97,2.86,2.26,0.00
Arthur,BRA,DF,Leverkusen,21.0,2003,0.4,5.00,5.00,2.50,0.00,2.50,5.00,5.00,100.0,0.00,0.00,0.00,0.00,0.00,5.00,2.50,0.00
Takuma Asano,JPN,FW,Bochum,29.0,1994,21.6,0.74,0.23,0.09,0.37,0.28,0.32,1.06,30.4,0.74,0.79,0.14,0.65,0.19,0.93,0.51,0.00
Noah Atubolu,GER,GK,Freiburg,21.0,2002,31.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.00,0.00,0.00,0.00,0.00,0.23,0.03
Matthias Bader,GER,DF,Darmstadt 98,26.0,1997,19.0,2.47,1.26,1.47,0.58,0.42,1.58,3.21,49.2,1.63,1.05,0.21,0.84,1.32,3.79,1.05,0.00
Ridle Baku,GER,DF,Wolfsburg,26.0,1998,20.0,1.70,1.00,1.15,0.25,0.30,0.90,1.95,46.2,1.05,1.15,0.05,1.10,1.05,2.75,2.20,0.05
Samuel Bamba,GER,FW,Dortmund,20.0,2004,0.5,2.00,2.00,2.00,0.00,0.00,2.00,4.00,50.0,2.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00
Aymen Barkok,MAR,MF,Mainz 05,25.0,1998,3.6,2.50,1.39,0.56,1.67,0.28,0.83,1.67,50.0,0.83,1.94,0.00,1.94,0.56,3.06,0.28,0.00
Leandro Barreiro Martins,LUX,MF,Mainz 05,24.0,2000,26.0,2.04,1.27,0.58,1.19,0.27,0.81,1.58,51.2,0.77,1.50,0.54,0.96,1.23,3.27,1.85,0.00
Daniel Batz,GER,GK,Mainz 05,33.0,1991,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00
Maximilian Bauer,GER,DF,Augsburg,24.0,2000,8.3,2.17,1.33,1.45,0.48,0.24,0.96,1.93,50.0,0.96,1.69,0.96,0.72,1.20,3.37,3.61,0.12
Elias Baum,GER,DF,Eint Frankfurt,18.0,2005,0.3,3.33,0.00,0.00,0.00,3.33,0.00,0.00,,0.00,10.0,6.67,3.33,0.00,3.33,3.33,0.00
Oliver Baumann,GER,GK,Hoffenheim,33.0,1990,31.0,0.03,0.03,0.03,0.00,0.00,0.03,0.06,50.0,0.03,0.00,0.00,0.00,0.00,0.03,0.58,0.06
