Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Abner,BRA,DF,Betis,23.0,2000,14.6,1.64,1.30,0.96,0.62,0.07,1.16,2.26,51.5,1.10,1.51,0.34,1.16,1.03,2.67,4.11,0.00
Abdel Abqar,MAR,DF,Alavés,25.0,1999,23.2,1.34,0.73,1.03,0.22,0.09,0.78,1.34,58.1,0.56,1.12,0.95,0.17,0.86,2.20,4.57,0.00
Marcos Acuña,ARG,DF,Sevilla,32.0,1991,12.9,2.17,1.40,1.32,0.85,0.00,0.62,1.01,61.5,0.39,0.93,0.16,0.78,0.31,2.48,1.86,0.00
Julen Agirrezabala,ESP,GK,Athletic Club,23.0,2000,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,FRA,MF,Sevilla,22.0,2002,5.8,2.41,1.90,0.86,1.55,0.00,1.03,1.21,85.7,0.17,1.03,0.17,0.86,1.03,3.45,0.86,0.00
Joseph Aidoo,GHA,DF,Celta Vigo,28.0,1995,4.5,1.78,0.67,1.33,0.44,0.00,0.89,1.78,50.0,0.89,0.67,0.22,0.44,0.89,2.67,6.22,0.00
Ilias Akhomach,MAR,MF,Villarreal,20.0,2004,15.9,2.20,1.32,0.69,1.01,0.50,0.63,1.19,52.6,0.57,0.63,0.13,0.50,0.75,2.96,0.82,0.00
Sergio Akieme,ESP,DF,Almería,26.0,1997,18.6,1.45,0.81,0.97,0.38,0.11,0.70,0.86,81.3,0.16,0.75,0.22,0.54,0.54,1.99,1.83,0.00
Paul Akouokou,CIV,MF,Betis,26.0,1997,0.3,16.7,10.0,0.00,6.67,10.0,10.0,10.0,100.0,0.00,10.0,3.33,6.67,3.33,20.0,3.33,0.00
David Alaba,AUT,DF,Real Madrid,31.0,1992,12.8,1.02,0.70,0.55,0.39,0.08,0.31,0.63,50.0,0.31,0.78,0.55,0.23,1.17,2.19,2.66,0.00
Raúl Albiol,ESP,DF,Villarreal,38.0,1985,22.1,1.09,0.63,0.63,0.41,0.05,0.81,1.22,66.7,0.41,1.40,1.09,0.32,0.68,1.76,4.62,0.00
Rubén Alcaraz,ESP,MF,Cádiz,33.0,1991,31.8,2.77,1.60,1.10,1.51,0.16,1.42,3.43,41.3,2.01,1.73,0.44,1.29,1.04,3.81,1.70,0.03
Omar Alderete,PAR,DF,Getafe,27.0,1996,21.4,1.17,0.89,0.65,0.51,0.00,0.79,1.45,54.8,0.65,1.26,0.75,0.51,0.42,1.59,4.77,0.00
Iván Alejo,ESP,MF,Cádiz,29.0,1995,18.7,2.03,1.12,1.23,0.53,0.27,0.91,3.05,29.8,2.14,1.07,0.00,1.07,0.37,2.41,0.91,0.00
Carles Aleñá,ESP,MF,Getafe,26.0,1998,10.3,2.23,0.68,0.68,1.26,0.29,0.97,1.94,50.0,0.97,1.26,0.29,0.97,0.29,2.52,1.17,0.00
Mohamed Ali Cho,FRA,FW,Real Sociedad,20.0,2004,2.8,1.43,1.07,1.07,0.36,0.00,0.71,2.50,28.6,1.79,2.14,0.00,2.14,0.36,1.79,0.36,0.00
Tadeo Allende,ARG,MF,Celta Vigo,25.0,1999,3.4,1.76,0.29,0.88,0.59,0.29,1.18,1.76,66.7,0.59,0.88,0.00,0.88,0.59,2.35,0.59,0.00
Domingos André Ribeiro Almeida,POR,FW,Valencia,23.0,2000,8.5,2.47,1.41,0.94,1.18,0.35,0.94,1.88,50.0,0.94,1.18,0.12,1.06,0.59,3.06,0.59,0.00
Marcos Alonso,ESP,DF,Barcelona,33.0,1990,2.8,1.79,1.07,0.71,1.07,0.00,1.07,1.43,75.0,0.36,0.71,0.00,0.71,1.43,3.21,2.14,0.00
Adrià Altimira,ESP,DF,Villarreal,23.0,2001,8.6,1.86,0.81,1.05,0.70,0.12,1.05,2.79,37.5,1.74,2.09,0.58,1.51,0.58,2.44,2.09,0.00
Sergi Altimira,ESP,MF,Betis,22.0,2001,5.6,2.68,1.43,1.43,1.07,0.18,1.96,3.93,50.0,1.96,2.14,0.18,1.96,1.43,4.11,1.79,0.00
Gastón Álvarez,URU,DF,Getafe,24.0,2000,25.2,2.38,1.31,1.63,0.63,0.12,1.31,1.94,67.3,0.63,1.51,0.40,1.11,1.35,3.73,2.98,0.00
Hugo Álvarez,ESP,MF,Celta Vigo,20.0,2003,7.0,1.86,1.29,1.00,0.43,0.43,1.14,2.43,47.1,1.29,0.43,0.14,0.29,0.71,2.57,1.29,0.00
