Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,36.0,1987,27.9,2.04,1.15,1.04,0.82,0.18,0.82,1.51,54.8,0.68,1.65,0.97,0.68,1.29,3.33,3.19,0.04
Salis Abdul Samed,GHA,MF,Lens,24.0,2000,16.7,1.26,0.84,0.48,0.60,0.18,0.48,1.08,44.4,0.60,0.72,0.06,0.66,0.72,1.98,0.96,0.00
Laurent Abergel,FRA,MF,Lorient,31.0,1993,28.8,2.53,1.49,1.32,0.97,0.24,1.11,2.95,37.6,1.84,0.90,0.21,0.69,1.81,4.34,1.98,0.10
Matthis Abline,FRA,FW,Nantes,21.0,2003,9.1,0.66,0.33,0.22,0.33,0.11,0.11,0.66,16.7,0.55,0.22,0.00,0.22,0.22,0.88,0.55,0.00
Zakaria Aboukhlal,MAR,MF,Toulouse,24.0,2000,7.0,0.71,0.57,0.14,0.14,0.43,0.14,1.29,11.1,1.14,1.00,0.14,0.86,0.14,0.86,0.29,0.00
Bénie Adama Traore,CIV,FW,Nantes,21.0,2002,3.6,2.22,1.11,0.56,1.39,0.28,0.83,1.39,60.0,0.56,0.28,0.00,0.28,0.28,2.50,0.00,0.00
Akor Adams,NGA,FW,Montpellier,24.0,2000,23.1,0.43,0.17,0.13,0.13,0.17,0.13,0.30,42.9,0.17,0.35,0.09,0.26,0.22,0.65,0.43,0.00
Nathaniel Adjei,GHA,DF,Lorient,21.0,2002,12.1,0.99,0.66,0.66,0.17,0.17,0.50,0.58,85.7,0.08,1.16,0.58,0.58,1.40,2.40,4.55,0.08
Adryelson,BRA,DF,Lyon,26.0,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,10.0,30.0,0.00
Adson,BRA,MF,Nantes,23.0,2000,2.6,2.69,2.31,0.38,2.31,0.00,0.77,0.77,100.0,0.00,1.92,0.00,1.92,0.77,3.46,0.77,0.00
Emmanuel Agbadou,CIV,DF,Reims,26.0,1997,25.8,2.25,1.47,1.24,0.85,0.16,1.51,2.21,68.4,0.70,1.67,0.85,0.81,1.82,4.07,3.60,0.04
Ruben Aguilar,FRA,DF,Lens,31.0,1993,20.3,2.46,1.48,1.23,1.08,0.15,1.28,2.17,59.1,0.89,1.63,0.20,1.43,1.18,3.65,1.92,0.00
Tosin Aiyegun,BEN,MF,Lorient,25.0,1998,8.7,0.69,0.46,0.23,0.34,0.11,0.34,0.92,37.5,0.57,0.34,0.11,0.23,0.11,0.80,0.92,0.00
Sergio Akieme,ESP,DF,Reims,26.0,1997,6.1,1.15,0.49,0.33,0.49,0.33,0.82,1.15,71.4,0.33,0.82,0.33,0.49,1.15,2.30,1.31,0.00
Maghnes Akliouche,FRA,MF,Monaco,22.0,2002,16.0,2.25,1.38,0.75,1.19,0.31,0.75,2.13,35.3,1.38,1.25,0.00,1.25,0.56,2.81,0.19,0.00
Paul Akouokou,CIV,MF,Lyon,26.0,1997,3.4,4.12,2.65,0.59,2.94,0.59,1.76,2.06,85.7,0.29,1.47,0.29,1.18,1.76,5.88,3.24,0.00
Aboubacar Ali,FRA,MF,Strasbourg,18.0,2006,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00
Mohamed Ali Cho,FRA,FW,Nice,20.0,2004,7.8,1.41,1.03,0.38,0.90,0.13,0.38,1.15,33.3,0.77,1.28,0.00,1.28,0.38,1.79,0.77,0.00
Yanis Ali Issoufou,FRA,FW,Montpellier,17.0,2006,0.1,,0.00,,,,,,,,,,,0.00,,,
Nabil Alioui,FRA,MF,Le Havre,25.0,1999,11.2,0.27,0.18,0.18,0.09,0.00,0.18,0.36,50.0,0.18,0.54,0.09,0.45,0.27,0.54,0.36,0.00
Jim Allevinah,GAB,MF,Clermont Foot,29.0,1995,19.7,1.47,0.86,0.56,0.66,0.25,0.71,1.78,40.0,1.07,1.02,0.15,0.86,0.66,2.13,1.47,0.00
Skelly Alvero,FRA,MF,Lyon,21.0,2002,4.7,1.70,1.49,1.06,0.43,0.21,0.43,1.91,22.2,1.49,1.06,0.21,0.85,0.43,2.13,1.06,0.00
Papa Amadou Diallo,SEN,FW,Metz,19.0,2004,6.9,1.88,1.01,0.72,1.01,0.14,0.72,1.74,41.7,1.01,1.30,0.14,1.16,1.01,2.90,1.59,0.00
Kelvin Amian,FRA,DF,Nantes,26.0,1998,7.6,1.58,0.79,1.18,0.39,0.00,1.05,1.58,66.7,0.53,0.79,0.00,0.79,0.53,2.11,3.16,0.00
