Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Tammy Abraham,ENG,FW,Roma,26.0,1997,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.83,0.00,0.83,0.00,0.00,2.50,0.00
Francesco Acerbi,ITA,DF,Inter,36.0,1988,24.5,0.86,0.49,0.61,0.24,0.00,0.41,0.53,76.9,0.12,0.73,0.49,0.24,1.27,2.12,2.98,0.00
Yacine Adli,FRA,MF,Milan,23.0,2000,15.2,2.24,1.12,1.12,0.86,0.26,0.86,2.30,37.1,1.45,1.45,0.53,0.92,1.32,3.55,0.92,0.07
Michel Aebischer,SUI,MF,Bologna,27.0,1997,21.9,1.28,0.82,0.32,0.78,0.18,0.55,1.37,40.0,0.82,1.00,0.14,0.87,0.50,1.78,0.78,0.00
Lucien Agoume,FRA,MF,Inter,22.0,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marley Aké,FRA,FW,Udinese,23.0,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ebenezer Akinsanmiro,NGA,MF,Inter,19.0,2004,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31.0,1992,7.3,2.47,1.23,1.92,0.41,0.14,0.41,1.23,33.3,0.82,1.37,0.55,0.82,1.64,4.11,2.05,0.00
David Akpan Ankeye,NGA,FW,Genoa,22.0,2002,0.6,,0.00,,,,,,,,,,,0.00,,,
Luis Alberto,ESP,MF,Lazio,31.0,1992,24.8,1.33,0.77,0.56,0.48,0.28,0.56,2.02,28.0,1.45,1.29,0.16,1.13,0.28,1.61,0.52,0.00
