Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Noah Atubolu,GER,GK,Freiburg,21,2002,31,31,2790,31.0,1.77,1.77,4.61,2.87,63.6,0.35,0.23,0.42,0.29,29.0,0.1,0.1,0.0,0.0,0.0
Daniel Batz,GER,GK,Mainz 05,33,1991,4,4,360,4.0,0.75,0.75,4.25,3.5,82.4,0.0,0.5,0.5,0.25,25.0,0.0,0.0,0.0,0.0,
Oliver Baumann,GER,GK,Hoffenheim,33,1990,32,32,2880,32.0,2.0,2.0,6.41,4.34,69.8,0.34,0.19,0.47,0.03,3.1,0.16,0.06,0.09,0.0,60.0
Janis Blaswich,GER,GK,RB Leipzig,33,1991,20,20,1800,20.0,1.4,1.4,3.5,2.1,64.3,0.5,0.15,0.35,0.25,25.0,0.15,0.15,0.0,0.0,0.0
Fabian Bredlow,GER,GK,Stuttgart,29,1995,4,4,360,4.0,0.75,0.75,5.5,4.75,86.4,0.75,0.25,0.0,0.25,25.0,0.0,0.0,0.0,0.0,
Alexander Brunst,GER,GK,Darmstadt 98,28,1995,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Koen Casteels,BEL,GK,Wolfsburg,31,1992,22,22,1980,22.0,1.55,1.55,4.77,3.32,69.5,0.32,0.27,0.41,0.14,13.6,0.14,0.09,0.0,0.05,0.0
Finn Dahmen,GER,GK,Augsburg,26,1998,31,31,2790,31.0,1.68,1.68,5.1,3.42,71.5,0.32,0.29,0.39,0.1,9.7,0.32,0.23,0.06,0.03,22.2
Jens Grahl,GER,GK,Eint Frankfurt,35,1988,2,2,180,2.0,1.0,1.0,4.5,3.5,77.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Péter Gulácsi,HUN,GK,RB Leipzig,33,1990,12,12,1080,12.0,0.58,0.58,2.75,2.17,78.8,0.83,0.17,0.0,0.5,50.0,0.08,0.0,0.0,0.08,
