Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kepa Arrizabalaga,ESP,GK,Real Madrid,29,1994,13,13,1170,13.0,0.69,0.69,2.85,2.23,75.7,0.77,0.15,0.08,0.54,53.8,0.0,0.0,0.0,0.0,
Francisco Barbosa,ESP,GK,Betis,25,1999,3,2,225,2.5,1.6,1.6,5.6,4.0,71.4,0.4,0.4,0.0,0.4,50.0,0.0,0.0,0.0,0.0,
Augusto Batalla,ARG,GK,Granada,28,1996,17,17,1530,17.0,1.65,1.65,5.06,3.41,67.4,0.18,0.24,0.59,0.18,17.6,0.0,0.0,0.0,0.0,
Yassine Bounou,MAR,GK,Sevilla,33,1991,1,1,90,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Claudio Bravo,CHI,GK,Betis,41,1983,7,7,630,7.0,0.71,0.71,2.86,2.29,75.0,0.43,0.57,0.0,0.29,28.6,0.0,0.0,0.0,0.0,
Thibaut Courtois,BEL,GK,Real Madrid,32,1992,2,2,180,2.0,0.0,0.0,1.5,1.5,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Cristian,ESP,GK,Valencia,26,1998,1,0,57,0.6,1.67,1.58,5.0,3.33,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Stole Dimitrievski,MKD,GK,Rayo Vallecano,30,1993,35,35,3150,35.0,1.23,1.23,4.09,2.89,70.6,0.2,0.4,0.4,0.37,37.1,0.06,0.03,0.03,0.0,50.0
Marko Dmitrović,SRB,GK,Sevilla,32,1992,13,13,1170,13.0,1.92,1.92,5.23,3.38,66.2,0.15,0.15,0.69,0.15,15.4,0.15,0.15,0.0,0.0,0.0
