Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Alaa Bellaarouch,MAR,GK,Strasbourg,22,2002,12,12,1080,12.0,1.67,1.67,4.08,2.42,63.3,0.25,0.17,0.58,0.17,16.7,0.25,0.17,0.08,0.0,33.3
Dimitry Bertaud,COD,GK,Montpellier,25,1998,2,2,180,2.0,3.5,3.5,7.0,3.5,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
Marco Bizot,NED,GK,Brest,33,1991,29,29,2606,29.0,1.14,1.14,4.28,3.1,75.0,0.48,0.28,0.24,0.38,37.9,0.1,0.07,0.03,0.0,33.3
Rubén Blanco,ESP,GK,Marseille,28,1995,2,1,121,1.3,1.54,1.49,4.62,3.08,66.7,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,
Marcin Bułka,POL,GK,Nice,24,1999,31,31,2790,31.0,0.81,0.81,3.06,2.19,78.9,0.45,0.29,0.26,0.52,51.6,0.26,0.16,0.1,0.0,37.5
Lucas Chevalier,FRA,GK,Lille,22,2001,31,31,2790,31.0,0.87,0.87,3.61,2.74,78.6,0.48,0.32,0.19,0.48,48.4,0.16,0.1,0.06,0.0,40.0
Grégoire Coudert,FRA,GK,Brest,25,1999,3,2,181,2.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Rémy Descamps,FRA,GK,Nantes,27,1996,6,6,540,6.0,1.83,1.83,6.17,4.33,73.0,0.33,0.33,0.33,0.17,16.7,0.33,0.17,0.0,0.17,0.0
Arthur Desmas,FRA,GK,Le Havre,30,1994,30,30,2700,30.0,1.3,1.3,4.6,3.33,72.5,0.2,0.37,0.43,0.23,23.3,0.1,0.03,0.03,0.03,50.0
Mory Diaw,SEN,GK,Clermont Foot,30,1993,27,27,2430,27.0,1.63,1.63,6.22,4.59,76.8,0.15,0.3,0.56,0.19,18.5,0.26,0.19,0.04,0.04,16.7
Guillaume Dietsch,FRA,GK,Metz,23,2001,1,0,73,0.8,1.25,1.23,3.75,2.5,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Yehvann Diouf,FRA,GK,Reims,24,1999,31,31,2790,31.0,1.45,1.45,4.0,2.55,68.5,0.35,0.23,0.42,0.23,22.6,0.23,0.19,0.03,0.0,14.3
Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999,25,25,2169,24.1,0.83,0.83,4.56,3.69,84.5,0.75,0.25,0.04,0.41,40.0,0.17,0.12,0.04,0.0,25.0
Mathieu Gorgelin,FRA,GK,Le Havre,33,1990,1,1,90,1.0,2.0,2.0,5.0,3.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Philipp Köhn,SUI,GK,Monaco,26,1998,22,22,1980,22.0,1.45,1.45,4.41,2.95,72.2,0.5,0.23,0.27,0.23,22.7,0.27,0.23,0.05,0.0,16.7
Alban Lafont,FRA,GK,Nantes,25,1999,25,25,2226,24.7,1.5,1.5,4.33,2.83,72.0,0.28,0.12,0.61,0.24,24.0,0.28,0.28,0.0,0.0,0.0
Benjamin Lecomte,FRA,GK,Montpellier,33,1991,30,30,2700,30.0,1.23,1.23,4.57,3.4,75.9,0.3,0.37,0.33,0.33,33.3,0.17,0.13,0.03,0.0,20.0
Anthony Lopes,POR,GK,Lyon,33,1990,28,28,2520,28.0,1.61,1.61,5.04,3.43,70.9,0.46,0.14,0.39,0.29,28.6,0.18,0.14,0.04,0.0,20.0
Pau López,ESP,GK,Marseille,29,1994,30,30,2669,29.7,1.21,1.21,3.8,2.59,69.9,0.37,0.37,0.27,0.24,23.3,0.07,0.07,0.0,0.0,0.0
Radosław Majecki,POL,GK,Monaco,24,1999,9,9,810,9.0,1.0,1.0,5.33,4.44,81.3,0.67,0.22,0.11,0.56,55.6,0.0,0.0,0.0,0.0,
Steve Mandanda,FRA,GK,Rennes,39,1985,31,31,2790,31.0,1.32,1.32,4.39,3.16,71.3,0.35,0.29,0.35,0.23,22.6,0.06,0.06,0.0,0.0,0.0
Yvon Mvogo,SUI,GK,Lorient,29,1994,32,32,2880,32.0,1.97,1.97,6.22,4.28,71.9,0.19,0.25,0.56,0.09,9.4,0.22,0.22,0.0,0.0,0.0
Keylor Navas,CRC,GK,Paris S-G,37,1986,3,3,270,3.0,2.0,2.0,3.33,1.33,50.0,0.33,0.67,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0
Massamba Ndiaye,SEN,GK,Clermont Foot,22,2001,4,4,360,4.0,1.5,1.5,6.0,4.5,79.2,0.25,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0
Alexandre Oukidja,ALG,GK,Metz,35,1988,31,31,2717,30.2,1.66,1.66,5.53,3.87,73.1,0.26,0.17,0.6,0.2,19.4,0.17,0.17,0.0,0.0,0.0
Denis Petrić,SRB,GK,Nantes,35,1988,1,0,24,0.3,3.33,3.75,3.33,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Guillaume Restes,FRA,GK,Toulouse,19,2005,32,32,2880,32.0,1.31,1.31,4.06,2.75,70.8,0.31,0.31,0.38,0.19,18.8,0.13,0.13,0.0,0.0,0.0
Rémy Riou,FRA,GK,Lyon,36,1987,3,3,270,3.0,2.0,2.0,4.67,2.67,57.1,0.0,0.33,0.67,0.33,33.3,0.0,0.0,0.0,0.0,
Brice Samba,FRA,GK,Lens,30,1994,32,32,2880,32.0,1.06,1.06,4.06,3.0,78.5,0.44,0.22,0.34,0.44,43.8,0.25,0.19,0.03,0.03,14.3
Matz Sels,BEL,GK,Strasbourg,32,1992,19,19,1710,19.0,1.26,1.26,3.26,2.11,62.9,0.32,0.37,0.32,0.16,15.8,0.05,0.05,0.0,0.0,0.0
Arnau Tenas,ESP,GK,Paris S-G,22,2001,4,3,349,3.9,0.77,0.77,4.1,3.33,81.3,0.26,0.51,0.0,0.26,33.3,0.0,0.0,0.0,0.0,
