Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Emil Audero,ITA,GK,Inter,27,1997,2,2,180,2.0,0.0,0.0,2.5,2.5,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Etrit Berisha,ALB,GK,Empoli,35,1989,14,14,1260,14.0,1.79,1.79,5.29,3.5,68.9,0.21,0.21,0.57,0.29,28.6,0.21,0.14,0.07,0.0,33.3
Elia Caprile,ITA,GK,Empoli,22,2001,19,19,1710,19.0,1.21,1.21,4.79,3.53,78.0,0.26,0.21,0.53,0.21,21.1,0.21,0.16,0.05,0.0,25.0
Marco Carnesecchi,ITA,GK,Atalanta,23,2000,23,23,2070,23.0,1.09,1.09,4.13,2.96,76.8,0.52,0.22,0.26,0.35,34.8,0.26,0.13,0.09,0.04,40.0
Michele Cerofolini,ITA,GK,Frosinone,25,1999,4,3,315,3.5,1.43,1.43,4.29,3.14,66.7,0.29,0.29,0.29,0.29,33.3,0.29,0.0,0.0,0.29,
Oliver Christensen,DEN,GK,Fiorentina,25,1999,3,3,270,3.0,2.33,2.33,5.0,2.67,60.0,0.33,0.33,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0
Andrea Consigli,ITA,GK,Sassuolo,37,1987,32,32,2880,32.0,2.0,2.0,4.81,2.84,62.3,0.16,0.25,0.59,0.06,6.3,0.28,0.19,0.03,0.06,14.3
Nikita Contini Baranovsky,ITA,GK,Napoli,27,1996,1,0,17,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,
Benoît Costil,FRA,GK,Salernitana,36,1987,13,13,1170,13.0,2.23,2.23,5.08,2.92,60.6,0.15,0.23,0.62,0.08,7.7,0.23,0.23,0.0,0.0,0.0
Alessio Cragno,ITA,GK,Sassuolo,29,1994,2,2,180,2.0,3.0,3.0,4.0,1.5,37.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Michele Di Gregorio,ITA,GK,Monza,26,1997,31,31,2692,29.9,1.04,1.04,4.85,3.75,80.7,0.37,0.33,0.33,0.4,38.7,0.17,0.1,0.07,0.0,40.0
Wladimiro Falcone,ITA,GK,Lecce,29,1995,34,34,3060,34.0,1.44,1.44,4.5,3.06,71.2,0.24,0.35,0.41,0.18,17.6,0.18,0.15,0.03,0.0,16.7
Luca Gemello,ITA,GK,Torino,23,2000,1,1,90,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierluigi Gollini,ITA,GK,Napoli,29,1995,7,7,630,7.0,1.14,1.14,3.43,2.29,66.7,0.43,0.14,0.43,0.14,14.3,0.0,0.0,0.0,0.0,
Nicola Leali,ITA,GK,Genoa,31,1993,2,1,91,1.0,2.0,1.98,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mike Maignan,FRA,GK,Milan,28,1995,29,29,2609,29.0,1.17,1.17,4.14,2.97,77.5,0.66,0.17,0.17,0.34,34.5,0.24,0.24,0.0,0.0,0.0
Christos Mandas,GRE,GK,Lazio,22,2001,7,6,541,6.0,0.67,0.67,3.17,2.5,78.9,0.83,0.0,0.17,0.5,50.0,0.0,0.0,0.0,0.0,
Josep Martinez,ESP,GK,Genoa,25,1998,33,33,2969,33.0,1.15,1.15,3.42,2.27,68.1,0.3,0.36,0.33,0.24,24.2,0.09,0.06,0.03,0.0,33.3
Alex Meret,ITA,GK,Napoli,27,1997,27,27,2413,26.8,1.31,1.31,3.47,2.09,64.5,0.37,0.37,0.26,0.15,14.8,0.15,0.07,0.07,0.0,50.0
Vanja Milinković-Savić,SRB,GK,Torino,27,1997,34,34,3060,34.0,0.85,0.85,3.68,2.82,80.8,0.32,0.41,0.26,0.53,52.9,0.15,0.15,0.0,0.0,0.0
Antonio Mirante,ITA,GK,Milan,40,1983,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lorenzo Montipò,ITA,GK,Hellas Verona,28,1996,34,34,3060,34.0,1.32,1.32,4.29,3.0,70.5,0.21,0.29,0.5,0.24,23.5,0.06,0.06,0.0,0.0,0.0
Juan Musso,ARG,GK,Atalanta,29,1994,10,10,900,10.0,1.2,1.2,3.1,2.0,67.7,0.5,0.1,0.4,0.5,50.0,0.2,0.2,0.0,0.0,0.0
Guillermo Ochoa,MEX,GK,Salernitana,38,1985,21,21,1890,21.0,2.1,2.1,5.48,3.43,67.8,0.0,0.29,0.71,0.05,4.8,0.33,0.33,0.0,0.0,0.0
Maduka Okoye,NGA,GK,Udinese,24,1999,17,17,1530,17.0,1.35,1.35,4.53,3.24,72.7,0.18,0.35,0.47,0.18,17.6,0.12,0.12,0.0,0.0,0.0
Rui Patrício,POR,GK,Roma,36,1988,23,23,2070,23.0,1.17,1.17,3.22,2.13,66.2,0.48,0.22,0.3,0.26,26.1,0.13,0.09,0.0,0.04,0.0
Mattia Perin,ITA,GK,Juventus,31,1992,2,2,180,2.0,0.5,0.5,2.0,1.5,75.0,0.5,0.5,0.0,0.5,50.0,0.0,0.0,0.0,0.0,
Samuele Perisan,ITA,GK,Empoli,26,1997,1,1,90,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ivan Provedel,ITA,GK,Lazio,30,1994,28,28,2519,28.0,1.11,1.11,3.89,2.79,73.4,0.43,0.14,0.43,0.32,32.1,0.11,0.07,0.0,0.04,0.0
Boris Radunović,SRB,GK,Cagliari,27,1996,7,7,630,7.0,1.71,1.71,3.86,2.29,55.6,0.0,0.29,0.71,0.29,28.6,0.14,0.0,0.0,0.14,
Federico Ravaglia,ITA,GK,Bologna,24,1999,4,4,360,4.0,0.25,0.25,2.25,2.0,88.9,0.75,0.25,0.0,0.75,75.0,0.0,0.0,0.0,0.0,
Simone Scuffet,ITA,GK,Cagliari,27,1996,27,27,2430,27.0,1.74,1.74,4.15,2.48,60.7,0.26,0.33,0.41,0.07,7.4,0.11,0.11,0.0,0.0,0.0
Marco Silvestri,ITA,GK,Udinese,33,1991,17,17,1530,17.0,1.65,1.65,4.0,2.35,67.6,0.06,0.65,0.29,0.24,23.5,0.35,0.35,0.0,0.0,0.0
Łukasz Skorupski,POL,GK,Bologna,32,1991,31,31,2790,31.0,0.84,0.84,3.29,2.45,77.5,0.45,0.39,0.16,0.42,41.9,0.19,0.1,0.03,0.06,25.0
Yann Sommer,SUI,GK,Inter,35,1988,32,32,2880,32.0,0.56,0.56,2.78,2.19,82.0,0.81,0.16,0.03,0.56,56.3,0.13,0.06,0.03,0.03,33.3
Alessandro Sorrentino,ITA,GK,Monza,22,2002,5,3,368,4.1,3.17,3.18,5.61,2.44,60.9,0.0,0.24,0.49,0.0,0.0,0.98,0.98,0.0,0.0,0.0
Marco Sportiello,ITA,GK,Milan,31,1992,4,4,360,4.0,1.0,1.0,4.75,3.75,78.9,0.5,0.5,0.0,0.5,50.0,0.0,0.0,0.0,0.0,
Mile Svilar,SRB,GK,Roma,24,1999,11,11,990,11.0,1.27,1.27,4.73,3.45,75.0,0.55,0.27,0.18,0.36,36.4,0.18,0.09,0.09,0.0,50.0
Wojciech Szczęsny,POL,GK,Juventus,34,1990,32,32,2880,32.0,0.78,0.78,3.0,2.25,76.0,0.53,0.31,0.16,0.47,46.9,0.09,0.06,0.03,0.0,33.3
Pietro Terracciano,ITA,GK,Fiorentina,34,1990,30,30,2700,30.0,1.0,1.0,3.83,2.8,79.1,0.43,0.23,0.33,0.27,26.7,0.23,0.2,0.03,0.0,14.3
Stefano Turati,ITA,GK,Frosinone,22,2001,31,31,2745,30.5,1.9,1.9,4.98,3.08,65.1,0.2,0.3,0.52,0.13,12.9,0.23,0.16,0.03,0.03,16.7
