Player,Nation,Age,MP,Starts,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Performance_rating
Simon Adingra,CIV,22.0,27,21,20.9,0.29,0.05,0.34,0.29,0.34,0.17,0.12,0.29,0.17,0.29,0.0,0.1,11.72,4.45,2.06,1.21
Miguel Almirón,PAR,30.0,29,23,20.5,0.15,0.05,0.19,0.15,0.19,0.22,0.13,0.34,0.22,0.34,0.0,0.05,7.66,3.76,3.66,0.7
Zeki Amdouni,SUI,23.0,31,26,20.8,0.24,0.05,0.29,0.19,0.24,0.26,0.07,0.32,0.22,0.28,0.0,0.1,4.23,2.84,2.26,1.01
Cameron Archer,ENG,22.0,26,18,18.0,0.22,0.06,0.28,0.22,0.28,0.25,0.15,0.4,0.25,0.4,0.0,0.06,5.44,1.72,0.83,1.0
Jordan Ayew,GHA,32.0,33,30,28.2,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.28,0.14,0.28,0.04,0.32,6.13,2.62,2.23,0.87
Jarrod Bowen,ENG,27.0,32,32,31.5,0.51,0.19,0.7,0.51,0.7,0.31,0.16,0.47,0.31,0.47,0.0,0.06,5.59,2.63,1.56,2.55
Dominic Calvert-Lewin,ENG,27.0,29,23,21.6,0.28,0.05,0.32,0.23,0.28,0.52,0.08,0.6,0.49,0.56,0.0,0.05,4.81,1.34,1.34,1.22
Matheus Cunha,BRA,24.0,29,26,24.4,0.45,0.29,0.74,0.41,0.7,0.36,0.13,0.49,0.33,0.46,0.0,0.33,5.0,4.06,2.99,2.34
Moussa Diaby,FRA,24.0,35,22,21.4,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.55,0.28,0.55,0.0,0.05,7.9,3.88,3.04,2.06
Luis Díaz,COL,27.0,34,29,26.8,0.3,0.19,0.49,0.3,0.49,0.42,0.19,0.61,0.42,0.61,0.0,0.11,10.45,4.59,4.07,1.66
Abdoulaye Doucouré,MLI,31.0,29,29,26.9,0.22,0.04,0.26,0.22,0.26,0.26,0.1,0.37,0.26,0.37,0.0,0.22,4.83,1.97,3.38,0.78
Anthony Elanga,SWE,22.0,33,23,25.1,0.2,0.32,0.52,0.2,0.52,0.26,0.24,0.5,0.26,0.5,0.0,0.04,7.29,3.59,1.87,1.72
Phil Foden,ENG,23.0,31,29,28.0,0.57,0.25,0.82,0.57,0.82,0.33,0.27,0.6,0.33,0.6,0.0,0.04,8.79,3.18,5.39,2.99
Lyle Foster,RSA,23.0,21,19,18.2,0.27,0.16,0.44,0.27,0.44,0.21,0.09,0.31,0.21,0.31,0.05,0.0,5.05,2.69,1.65,1.41
Alejandro Garnacho,ARG,19.0,32,26,24.6,0.28,0.16,0.45,0.28,0.45,0.31,0.2,0.51,0.31,0.51,0.0,0.16,9.84,6.1,2.36,1.44
Anthony Gordon,ENG,23.0,32,31,29.2,0.34,0.31,0.65,0.31,0.62,0.31,0.23,0.55,0.29,0.52,0.03,0.38,7.16,4.14,3.01,1.82
Erling Haaland,NOR,23.0,27,25,24.6,0.85,0.2,1.06,0.69,0.9,0.98,0.17,1.15,0.82,0.99,0.0,0.04,4.59,1.26,0.73,3.96
Hwang Hee-chan,KOR,28.0,26,22,20.9,0.53,0.14,0.67,0.48,0.62,0.33,0.14,0.47,0.29,0.43,0.0,0.29,5.02,1.67,1.53,2.25
Son Heung-min,KOR,31.0,30,29,27.6,0.58,0.33,0.9,0.51,0.83,0.38,0.31,0.69,0.32,0.63,0.0,0.04,9.78,3.15,4.09,3.27
Callum Hudson-Odoi,ENG,23.0,26,17,17.7,0.28,0.06,0.34,0.28,0.34,0.13,0.13,0.25,0.13,0.25,0.0,0.0,8.19,5.31,2.77,1.3
Rasmus Højlund,DEN,21.0,26,23,21.7,0.37,0.09,0.46,0.37,0.46,0.34,0.07,0.41,0.34,0.41,0.0,0.09,4.61,1.47,1.34,1.66
Alexander Isak,SWE,24.0,26,23,21.6,0.88,0.05,0.93,0.65,0.7,0.8,0.1,0.9,0.62,0.72,0.0,0.05,5.14,2.64,2.92,3.62
Alex Iwobi,NGA,28.0,27,22,21.4,0.23,0.09,0.33,0.23,0.33,0.24,0.2,0.44,0.24,0.44,0.0,0.09,7.43,4.44,6.26,1.1
Nicolas Jackson,SEN,22.0,30,26,26.1,0.38,0.15,0.54,0.38,0.54,0.56,0.14,0.7,0.56,0.7,0.0,0.34,6.05,1.95,2.18,1.63
João Pedro,BRA,22.0,28,16,19.7,0.41,0.1,0.51,0.2,0.3,0.48,0.16,0.64,0.32,0.48,0.0,0.1,9.29,3.55,4.01,1.84
Brennan Johnson,WAL,22.0,27,18,18.3,0.27,0.38,0.66,0.27,0.66,0.43,0.3,0.73,0.43,0.73,0.0,0.16,12.19,4.26,3.22,2.06
Dejan Kulusevski,SWE,24.0,31,27,26.8,0.22,0.11,0.34,0.22,0.34,0.13,0.27,0.4,0.13,0.4,0.0,0.26,12.76,5.11,4.96,0.95
Gabriel Martinelli,BRA,22.0,32,23,21.0,0.29,0.19,0.48,0.29,0.48,0.31,0.26,0.56,0.31,0.56,0.0,0.05,14.86,5.33,2.9,1.68
Jean-Philippe Mateta,FRA,26.0,32,22,23.0,0.48,0.17,0.65,0.39,0.56,0.37,0.12,0.48,0.3,0.41,0.0,0.13,5.35,1.09,1.04,2.3
Bryan Mbeumo,CMR,24.0,22,19,18.8,0.43,0.27,0.69,0.27,0.53,0.49,0.22,0.71,0.37,0.58,0.0,0.11,8.72,3.24,4.1,2.42
Kudus Mohammed,GHA,23.0,30,24,24.6,0.28,0.2,0.49,0.28,0.49,0.17,0.12,0.29,0.17,0.29,0.0,0.24,7.85,4.07,3.05,1.48
Carlton Morris,ENG,28.0,35,29,28.8,0.35,0.14,0.49,0.21,0.35,0.34,0.1,0.44,0.23,0.33,0.0,0.07,3.75,1.08,1.77,1.75
Pedro Neto,POR,24.0,19,18,16.7,0.12,0.54,0.66,0.12,0.66,0.21,0.27,0.47,0.21,0.47,0.0,0.24,8.86,5.81,3.23,1.86
Darwin Núñez,URU,24.0,33,22,22.2,0.5,0.36,0.86,0.5,0.86,0.71,0.27,0.98,0.67,0.94,0.0,0.41,9.05,2.48,2.39,2.67
Cole Palmer,ENG,21.0,28,24,24.0,0.83,0.37,1.21,0.46,0.83,0.65,0.34,0.99,0.35,0.7,0.0,0.29,6.5,3.92,6.75,4.14
Lucas Paquetá,BRA,26.0,28,28,26.4,0.15,0.23,0.38,0.08,0.3,0.2,0.19,0.39,0.14,0.33,0.0,0.34,4.13,1.21,6.44,0.95
Marcus Rashford,ENG,26.0,31,26,25.0,0.28,0.08,0.36,0.2,0.28,0.29,0.09,0.38,0.23,0.32,0.0,0.08,7.32,3.72,2.52,1.28
Bukayo Saka,ENG,22.0,33,33,30.6,0.49,0.29,0.78,0.33,0.62,0.45,0.31,0.76,0.32,0.63,0.0,0.1,15.98,4.93,3.79,2.73
Mohamed Salah,EGY,31.0,29,25,25.2,0.68,0.36,1.03,0.48,0.83,0.75,0.43,1.19,0.53,0.96,0.0,0.08,11.83,3.41,5.4,3.72
Antoine Semenyo,GHA,24.0,30,22,20.4,0.39,0.1,0.49,0.39,0.49,0.21,0.14,0.36,0.21,0.36,0.0,0.25,7.94,3.73,2.7,1.61
Dominic Solanke,ENG,26.0,35,35,34.6,0.52,0.09,0.61,0.46,0.55,0.54,0.09,0.62,0.47,0.56,0.0,0.09,5.0,1.42,1.68,2.26
Raheem Sterling,ENG,29.0,28,21,20.8,0.29,0.19,0.48,0.29,0.48,0.3,0.2,0.5,0.3,0.5,0.0,0.29,11.44,5.53,3.51,1.44
Marcus Tavernier,ENG,25.0,28,24,22.6,0.13,0.18,0.31,0.13,0.31,0.17,0.22,0.38,0.17,0.38,0.0,0.13,7.43,3.36,3.63,0.93
Ollie Watkins,ENG,28.0,34,34,33.0,0.58,0.36,0.94,0.58,0.94,0.48,0.21,0.7,0.48,0.7,0.0,0.12,6.12,1.67,1.64,3.28
