Player,Nation,Pos_x,Squad_x,Age,Born,MP_x,Starts_x,Min_x,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,MP_y,Starts_y,Min_y,GA,GA90,SoTA,Saves,Save%,CS,PKsv,PKm,PSave%,Performance_rating
Alisson,BRA,GK,Liverpool,31.0,1992.0,25,25,2250,25.0,0.0,0.0,0.0,0.04,GK,Liverpool,25,25,2250,1.0,1.0,3.84,2.88,75.0,0.28,0.0,0.0,0.0,1.58
Alphonse Areola,FRA,GK,West Ham,31.0,1993.0,28,28,2429,27.0,0.0,0.0,0.0,0.04,GK,West Ham,28,28,2429,1.63,1.63,5.96,4.37,75.8,0.15,0.07,0.0,28.6,1.58
Daniel Bentley,ENG,GK,Wolves,30.0,1993.0,4,2,293,3.3,0.0,0.0,0.0,0.0,GK,Wolves,4,2,293,1.21,1.23,3.64,2.42,66.7,0.3,0.0,0.0,,1.8
Martin Dúbravka,SVK,GK,Newcastle Utd,35.0,1989.0,20,19,1715,19.1,0.0,0.0,0.0,0.05,GK,Newcastle Utd,20,19,1715,1.94,1.94,5.92,3.93,70.8,0.26,0.05,0.0,20.0,2.11
Ederson,BRA,GK,Manchester City,30.0,1993.0,30,30,2537,28.2,0.0,0.0,0.0,0.18,GK,Manchester City,30,30,2537,0.92,0.92,2.77,1.88,70.5,0.32,0.0,0.0,0.0,1.56
Łukasz Fabiański,POL,GK,West Ham,39.0,1985.0,10,7,721,8.0,0.0,0.0,0.0,0.0,GK,West Ham,10,7,721,2.63,2.62,6.63,4.13,66.0,0.13,0.0,0.0,0.0,1.83
Mark Flekken,NED,GK,Brentford,30.0,1993.0,34,34,3015,33.5,0.0,0.03,0.0,0.09,GK,Brentford,34,34,3015,1.73,1.73,4.84,3.1,65.4,0.18,0.0,0.0,0.0,1.5
Wes Foderingham,ENG,GK,Sheffield Utd,33.0,1991.0,27,26,2379,26.4,0.0,0.0,0.0,0.08,GK,Sheffield Utd,27,26,2379,2.73,2.72,7.01,4.47,63.8,0.04,0.0,0.04,0.0,1.45
Ivo Grbić,CRO,GK,Sheffield Utd,28.0,1996.0,9,9,771,8.6,0.0,0.0,0.0,0.12,GK,Sheffield Utd,9,9,771,2.91,2.92,6.86,4.19,57.6,0.0,0.0,0.12,,1.33
Dean Henderson,ENG,GK,Crystal Palace,27.0,1997.0,15,15,1350,15.0,0.0,0.0,0.0,0.07,GK,Crystal Palace,15,15,1350,1.93,1.93,4.93,3.07,62.2,0.13,0.0,0.0,0.0,1.42
Sam Johnstone,ENG,GK,Crystal Palace,31.0,1993.0,20,20,1796,20.0,0.0,0.0,0.0,0.05,GK,Crystal Palace,20,20,1796,1.35,1.35,3.35,2.05,62.7,0.3,0.0,0.0,0.0,1.82
Loris Karius,GER,GK,Newcastle Utd,30.0,1993.0,1,1,90,1.0,0.0,0.0,0.0,0.0,GK,Newcastle Utd,1,1,90,4.0,4.0,7.0,4.0,42.9,0.0,0.0,0.0,,2.0
Caoimhín Kelleher,IRL,GK,Liverpool,25.0,1998.0,10,10,900,10.0,0.0,0.0,0.0,0.0,GK,Liverpool,10,10,900,1.1,1.1,3.8,2.8,71.1,0.2,0.0,0.0,,1.35
Bernd Leno,GER,GK,Fulham,32.0,1992.0,35,35,3150,35.0,0.0,0.0,0.0,0.09,GK,Fulham,35,35,3150,1.57,1.57,4.94,3.49,71.7,0.26,0.0,0.0,0.0,1.74
Emiliano Martínez,ARG,GK,Aston Villa,31.0,1992.0,33,33,2925,32.5,0.0,0.0,0.0,0.12,GK,Aston Villa,33,33,2925,1.38,1.38,4.06,2.77,66.7,0.25,0.0,0.0,0.0,1.57
Remi Matthews,ENG,GK,Crystal Palace,30.0,1994.0,1,0,4,0.0,0.0,0.0,,,GK,Crystal Palace,1,0,4,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,,
Arijanet Muric,KVX,GK,Burnley,25.0,1998.0,7,7,630,7.0,0.0,0.0,0.0,0.0,GK,Burnley,7,7,630,1.14,1.14,7.43,6.43,86.5,0.0,0.0,0.0,0.0,0.57
Neto,BRA,GK,Bournemouth,34.0,1989.0,31,31,2790,31.0,0.0,0.0,0.0,0.16,GK,Bournemouth,31,31,2790,1.71,1.71,5.13,3.42,69.8,0.23,0.03,0.0,16.7,1.71
Robin Olsen,SWE,GK,Aston Villa,34.0,1990.0,3,2,225,2.5,0.0,0.0,0.0,0.0,GK,Aston Villa,3,2,225,2.8,2.8,6.8,4.0,58.8,0.0,0.0,0.0,,1.4
