Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Int,Performance_rating
Edson Álvarez,MEX,MF,West Ham,26.0,1997.0,29,27,2312,25.7,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,0.0,0.39,1.01,0.78,3.46,MF,West Ham,3.07,1.52,1.21,2.45,49.2,1.25,1.63,9.19
Julián Álvarez,ARG,MF,Manchester City,24.0,2000.0,33,31,2628,29.2,0.31,0.27,0.58,0.27,0.55,0.41,0.22,0.63,0.38,0.6,0.0,0.07,6.03,2.16,3.53,MF,Manchester City,0.82,0.45,0.27,1.06,25.8,0.79,0.07,15.83
Leon Bailey,JAM,MF,Aston Villa,26.0,1997.0,33,20,1888,21.0,0.48,0.43,0.91,0.48,0.91,0.29,0.38,0.67,0.29,0.67,0.0,0.24,10.48,4.76,3.57,MF,Aston Villa,0.48,0.24,0.19,0.81,23.5,0.62,0.38,24.87
Ross Barkley,ENG,MF,Luton Town,30.0,1993.0,30,28,2490,27.7,0.18,0.14,0.33,0.18,0.33,0.14,0.13,0.28,0.14,0.28,0.0,0.18,1.3,1.62,5.42,MF,Luton Town,1.7,0.69,0.4,1.73,22.9,1.34,0.9,16.84
Sander Berge,NOR,MF,Burnley,26.0,1998.0,34,31,2735,30.4,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,0.03,0.3,0.92,1.88,4.64,MF,Burnley,2.37,1.41,1.05,1.81,58.2,0.76,0.76,14.77
Josh Brownhill,ENG,MF,Burnley,28.0,1995.0,31,22,2152,23.9,0.17,0.08,0.25,0.17,0.25,0.08,0.08,0.16,0.08,0.16,0.04,0.13,1.34,0.71,3.56,MF,Burnley,2.3,1.42,1.0,1.42,70.6,0.42,1.38,10.09
Casemiro,BRA,MF,Manchester Utd,32.0,1992.0,21,20,1622,18.0,0.06,0.11,0.17,0.06,0.17,0.18,0.05,0.23,0.18,0.23,0.0,0.28,1.94,0.56,5.44,MF,Manchester Utd,3.56,2.28,2.0,4.5,44.4,2.5,0.83,12.91
Tahith Chong,NED,MF,Luton Town,24.0,1999.0,30,17,1716,19.1,0.21,0.0,0.21,0.21,0.21,0.14,0.02,0.16,0.14,0.16,0.0,0.16,4.55,2.3,3.4,MF,Luton Town,1.62,0.94,0.58,1.41,40.7,0.84,0.31,14.59
Ryan Christie,SCO,MF,Bournemouth,29.0,1995.0,34,32,2648,29.4,0.0,0.17,0.17,0.0,0.17,0.07,0.18,0.24,0.07,0.24,0.0,0.17,2.52,1.94,5.27,MF,Bournemouth,2.59,1.26,1.19,2.69,44.3,1.5,1.67,16.7
Lewis Cook,ENG,MF,Bournemouth,27.0,1997.0,30,29,2516,28.0,0.0,0.11,0.11,0.0,0.11,0.01,0.13,0.14,0.01,0.14,0.04,0.18,0.46,0.68,4.68,MF,Bournemouth,2.0,1.36,1.11,1.96,56.4,0.86,2.11,11.43
Josh Cullen,IRL,MF,Burnley,28.0,1996.0,22,20,1798,20.0,0.05,0.15,0.2,0.05,0.2,0.02,0.09,0.1,0.02,0.1,0.0,0.4,0.9,1.05,5.2,MF,Burnley,1.7,1.15,1.05,2.0,52.5,0.95,0.6,13.85
Danilo,BRA,MF,Nott'ham Forest,23.0,2001.0,26,17,1533,17.0,0.12,0.06,0.18,0.12,0.18,0.09,0.07,0.16,0.09,0.16,0.0,0.24,1.47,1.06,4.18,MF,Nott'ham Forest,1.53,0.82,0.88,2.0,44.1,1.12,1.76,12.08
Eberechi Eze,ENG,MF,Crystal Palace,25.0,1998.0,24,21,1797,20.0,0.4,0.15,0.55,0.35,0.5,0.39,0.21,0.61,0.35,0.57,0.0,0.15,5.95,3.1,4.3,MF,Crystal Palace,1.4,0.55,0.6,1.4,42.9,0.8,0.5,20.2
Bruno Fernandes,POR,MF,Manchester Utd,29.0,1994.0,33,33,2970,33.0,0.3,0.21,0.52,0.18,0.39,0.3,0.34,0.64,0.18,0.52,0.0,0.24,5.3,2.39,8.52,MF,Manchester Utd,2.0,1.12,0.88,2.61,33.7,1.73,0.76,26.1
Enzo Fernández,ARG,MF,Chelsea,23.0,2001.0,28,26,2209,24.5,0.12,0.08,0.2,0.08,0.16,0.25,0.14,0.39,0.19,0.33,0.0,0.29,2.2,2.12,8.57,MF,Chelsea,2.04,0.9,1.1,2.65,41.5,1.55,0.69,24.05
Idrissa Gana Gueye,SEN,MF,Everton,34.0,1989.0,22,21,1625,18.1,0.17,0.0,0.17,0.17,0.17,0.07,0.04,0.11,0.07,0.11,0.0,0.39,1.93,1.38,3.81,MF,Everton,3.59,2.27,1.38,2.32,59.5,0.94,1.22,12.22
James Garner,ENG,MF,Everton,23.0,2001.0,34,31,2770,30.8,0.03,0.06,0.1,0.03,0.1,0.08,0.14,0.22,0.08,0.22,0.0,0.19,2.14,1.04,3.02,MF,Everton,2.5,1.33,1.07,2.56,41.8,1.49,1.46,9.3
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24.0,2000.0,34,32,2886,32.1,0.16,0.22,0.37,0.12,0.34,0.2,0.23,0.42,0.17,0.4,0.0,0.28,5.11,2.18,4.74,MF,Nott'ham Forest,1.06,0.72,0.44,0.97,45.2,0.53,0.5,17.2
Billy Gilmour,SCO,MF,Brighton,22.0,2001.0,26,21,1868,20.8,0.0,0.05,0.05,0.0,0.05,0.04,0.1,0.14,0.04,0.14,0.05,0.29,1.59,1.68,8.56,MF,Brighton,1.11,0.72,0.53,1.59,33.3,1.06,0.43,21.87
João Gomes,BRA,MF,Wolves,23.0,2001.0,31,29,2379,26.4,0.08,0.04,0.11,0.08,0.11,0.06,0.04,0.1,0.06,0.1,0.0,0.38,1.33,0.95,3.41,MF,Wolves,4.17,2.54,1.44,3.26,44.2,1.82,0.68,9.81
Pascal Groß,GER,MF,Brighton,32.0,1991.0,32,30,2754,30.6,0.13,0.33,0.46,0.1,0.42,0.18,0.24,0.42,0.15,0.4,0.0,0.16,5.42,2.42,8.99,MF,Brighton,2.12,1.37,0.92,1.99,45.9,1.08,0.69,26.72
Bruno Guimarães,BRA,MF,Newcastle Utd,26.0,1997.0,33,33,2903,32.3,0.16,0.19,0.34,0.16,0.34,0.11,0.17,0.28,0.11,0.28,0.0,0.28,1.92,1.76,7.74,MF,Newcastle Utd,2.29,1.24,0.99,2.14,46.4,1.15,0.96,21.85
Gustavo Hamer,NED,MF,Sheffield Utd,26.0,1997.0,33,31,2640,29.3,0.14,0.2,0.34,0.14,0.34,0.09,0.16,0.26,0.09,0.26,0.0,0.31,2.42,1.13,3.92,MF,Sheffield Utd,1.23,0.65,0.48,1.84,25.9,1.37,0.96,12.22
Jack Harrison,ENG,MF,Everton,27.0,1996.0,28,24,2124,23.6,0.13,0.13,0.25,0.13,0.25,0.15,0.14,0.29,0.15,0.29,0.0,0.04,5.51,2.67,2.5,MF,Everton,1.36,0.72,0.59,1.86,31.8,1.27,0.51,14.01
Kai Havertz,GER,MF,Arsenal,24.0,1999.0,34,27,2364,26.3,0.46,0.23,0.69,0.42,0.65,0.41,0.12,0.54,0.38,0.51,0.0,0.34,6.31,1.83,3.65,MF,Arsenal,1.06,0.49,0.46,1.37,33.3,0.91,0.65,15.44
Will Hughes,ENG,MF,Crystal Palace,29.0,1995.0,28,21,1810,20.1,0.0,0.05,0.05,0.0,0.05,0.01,0.06,0.07,0.01,0.07,0.0,0.3,0.75,0.65,3.48,MF,Crystal Palace,2.94,1.59,1.09,2.29,47.8,1.19,0.95,8.76
Vitaly Janelt,GER,MF,Brentford,25.0,1998.0,35,34,2834,31.5,0.0,0.1,0.1,0.0,0.1,0.05,0.15,0.2,0.05,0.2,0.0,0.25,2.35,0.7,3.62,MF,Brentford,1.97,1.17,0.98,2.0,49.2,1.02,1.08,9.39
Mathias Jensen,DEN,MF,Brentford,28.0,1996.0,30,26,2113,23.5,0.13,0.13,0.26,0.13,0.26,0.03,0.17,0.2,0.03,0.2,0.0,0.13,2.68,0.81,4.98,MF,Brentford,2.21,1.32,1.06,4.0,26.6,2.94,0.89,13.3
Boubacar Kamara,FRA,MF,Aston Villa,24.0,1999.0,20,20,1652,18.4,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,0.05,0.38,0.54,1.03,4.51,MF,Aston Villa,2.34,1.58,1.3,2.55,51.1,1.25,1.14,11.73
Justin Kluivert,NED,MF,Bournemouth,24.0,1999.0,29,23,1704,18.9,0.37,0.05,0.42,0.37,0.42,0.31,0.1,0.41,0.31,0.41,0.0,0.26,5.5,3.12,2.33,MF,Bournemouth,1.27,0.63,0.32,1.32,24.0,1.01,0.32,15.76
